name,code,line,num
ADMIRALTY MRT STATION,NS10,NS,10
ALJUNIED MRT STATION,EW9,EW,9
ANG MO KIO MRT STATION,NS16,NS,16
BAKAU LRT STATION,SE3,SE,3
BARTLEY MRT STATION,CC12,CC,12
BAYFRONT MRT STATION,DT16,DT,16
BAYFRONT MRT STATION,CE1,CE,1
BEAUTY WORLD MRT STATION,DT5,DT,5
BEDOK MRT STATION,EW5,EW,5
BEDOK NORTH MRT STATION,DT29,DT,29
BEDOK RESERVOIR MRT STATION,DT30,DT,30
BENCOOLEN MRT STATION,DT21,DT,21
BENDEMEER MRT STATION,DT23,DT,23
BISHAN MRT STATION,CC15,CC,15
BISHAN MRT STATION,NS17,NS,17
BOON KENG MRT STATION,NE9,NE,9
BOON LAY MRT STATION,EW27,EW,27
BOTANIC GARDENS MRT STATION,DT9,DT,9
BOTANIC GARDENS MRT STATION,CC19,CC,19
BRADDELL MRT STATION,NS18,NS,18
BRAS BASAH MRT STATION,CC2,CC,2
BRIGHT HILL MRT STATION,TE7,TE,7
BUANGKOK MRT STATION,NE15,NE,15
BUGIS MRT STATION,DT14,DT,14
BUGIS MRT STATION,EW12,EW,12
BUKIT BATOK MRT STATION,NS2,NS,2
BUKIT BROWN MRT STATION,CC18,CC,18
BUKIT GOMBAK MRT STATION,NS3,NS,3
BUKIT PANJANG MRT STATION,DT1,DT,1
BUONA VISTA MRT STATION,EW21,EW,21
BUONA VISTA MRT STATION,CC22,CC,22
CALDECOTT MRT STATION,TE9,TE,9
CALDECOTT MRT STATION,CC17,CC,17
CANBERRA MRT STATION,NS12,NS,12
CASHEW MRT STATION,DT2,DT,2
CHANGI AIRPORT MRT STATION,CG2,CG,2
CHENG LIM LRT STATION,SW1,SW,1
CHINATOWN MRT STATION,DT19,DT,19
CHINATOWN MRT STATION,NE4,NE,4
CHINESE GARDEN MRT STATION,EW25,EW,25
CHOA CHU KANG MRT STATION,NS4,NS,4
CITY HALL MRT STATION,EW13,EW,13
CITY HALL MRT STATION,NS25,NS,25
CLARKE QUAY MRT STATION,NE5,NE,5
CLEMENTI MRT STATION,EW23,EW,23
COMMONWEALTH MRT STATION,EW20,EW,20
COMPASSVALE LRT STATION,SE1,SE,1
CORAL EDGE LRT STATION,PE3,PE,3
COVE LRT STATION,PE1,PE,1
DAKOTA MRT STATION,CC8,CC,8
DAMAI LRT STATION,PE7,PE,7
DHOBY GHAUT MRT STATION,NS24,NS,24
DHOBY GHAUT MRT STATION,NE6,NE,6
DHOBY GHAUT MRT STATION,CC1,CC,1
DOVER MRT STATION,EW22,EW,22
DOWNTOWN MRT STATION,DT17,DT,17
ESPLANADE MRT STATION,CC3,CC,3
EUNOS MRT STATION,EW7,EW,7
EXPO MRT STATION,CG1,CG,1
EXPO MRT STATION,DT35,DT,35
FARMWAY LRT STATION,SW2,SW,2
FARRER PARK MRT STATION,NE8,NE,8
FARRER ROAD MRT STATION,CC20,CC,20
FERNVALE LRT STATION,SW5,SW,5
FORT CANNING MRT STATION,DT20,DT,20
GEYLANG BAHRU MRT STATION,DT24,DT,24
GUL CIRCLE MRT STATION,EW30,EW,30
HARBOURFRONT MRT STATION,NE1,NE,1
HARBOURFRONT MRT STATION,CC29,CC,29
HAW PAR VILLA MRT STATION,CC25,CC,25
HILLVIEW MRT STATION,DT3,DT,3
HOLLAND VILLAGE MRT STATION,CC21,CC,21
HOUGANG MRT STATION,NE14,NE,14
HUME MRT STATION,DT4,DT,4
JALAN BESAR MRT STATION,DT22,DT,22
JOO KOON MRT STATION,EW29,EW,29
JURONG EAST MRT STATION,NS1,NS,1
JURONG EAST MRT STATION,EW24,EW,24
KADALOOR LRT STATION,PE5,PE,5
KAKI BUKIT MRT STATION,DT28,DT,28
KALLANG MRT STATION,EW10,EW,10
KANGKAR LRT STATION,SE4,SE,4
KEMBANGAN MRT STATION,EW6,EW,6
KENT RIDGE MRT STATION,CC24,CC,24
KHATIB MRT STATION,NS14,NS,14
KING ALBERT PARK MRT STATION,DT6,DT,6
KOVAN MRT STATION,NE13,NE,13
KRANJI MRT STATION,NS7,NS,7
KUPANG LRT STATION,SW3,SW,3
LABRADOR PARK MRT STATION,CC27,CC,27
LAKESIDE MRT STATION,EW26,EW,26
LAVENDER MRT STATION,EW11,EW,11
LAYAR LRT STATION,SW6,SW,6
LENTOR MRT STATION,TE5,TE,5
LITTLE INDIA MRT STATION,DT12,DT,12
LITTLE INDIA MRT STATION,NE7,NE,7
LORONG CHUAN MRT STATION,CC14,CC,14
MACPHERSON MRT STATION,DT26,DT,26
MACPHERSON MRT STATION,CC10,CC,10
MARINA BAY MRT STATION,CE2,CE,2
MARINA BAY MRT STATION,NS27,NS,27
MARINA BAY MRT STATION,TE20,TE,20
MARINA SOUTH PIER MRT STATION,NS28,NS,28
MARSILING MRT STATION,NS8,NS,8
MARYMOUNT MRT STATION,CC16,CC,16
MATTAR MRT STATION,DT25,DT,25
MAYFLOWER MRT STATION,TE6,TE,6
MERIDIAN LRT STATION,PE2,PE,2
MOUNTBATTEN MRT STATION,CC7,CC,7
NEWTON MRT STATION,NS21,NS,21
NEWTON MRT STATION,DT11,DT,11
NIBONG LRT STATION,PW5,PW,5
NICOLL HIGHWAY MRT STATION,CC5,CC,5
NOVENA MRT STATION,NS20,NS,20
OASIS LRT STATION,PE6,PE,6
ONE-NORTH MRT STATION,CC23,CC,23
ORCHARD MRT STATION,NS22,NS,22
ORCHARD MRT STATION,TE14,TE,14
OUTRAM PARK MRT STATION,EW16,EW,16
PASIR PANJANG MRT STATION,CC26,CC,26
PASIR RIS MRT STATION,EW1,EW,1
PAYA LEBAR MRT STATION,EW8,EW,8
PAYA LEBAR MRT STATION,CC9,CC,9
PIONEER MRT STATION,EW28,EW,28
POTONG PASIR MRT STATION,NE10,NE,10
PROMENADE MRT STATION,CC4,CC,4
PROMENADE MRT STATION,DT15,DT,15
PUNGGOL MRT STATION,NE17,NE,17
PUNGGOL POINT LRT STATION,PW3,PW,3
QUEENSTOWN MRT STATION,EW19,EW,19
RAFFLES PLACE MRT STATION,NS26,NS,26
RAFFLES PLACE MRT STATION,EW14,EW,14
RANGGUNG LRT STATION,SE5,SE,5
REDHILL MRT STATION,EW18,EW,18
RENJONG LRT STATION,SW8,SW,8
RIVIERA LRT STATION,PE4,PE,4
ROCHOR MRT STATION,DT13,DT,13
RUMBIA LRT STATION,SE2,SE,2
SAM KEE LRT STATION,PW1,PW,1
SAMUDERA LRT STATION,PW4,PW,4
SEMBAWANG MRT STATION,NS11,NS,11
SENGKANG MRT STATION,NE16,NE,16
SERANGOON MRT STATION,NE12,NE,12
SERANGOON MRT STATION,CC13,CC,13
SIMEI MRT STATION,EW3,EW,3
SIXTH AVENUE MRT STATION,DT7,DT,7
SOMERSET MRT STATION,NS23,NS,23
SOO TECK LRT STATION,PW7,PW,7
SPRINGLEAF MRT STATION,TE4,TE,4
STADIUM MRT STATION,CC6,CC,6
STEVENS MRT STATION,TE11,TE,11
STEVENS MRT STATION,DT10,DT,10
SUMANG LRT STATION,PW6,PW,6
TAI SENG MRT STATION,CC11,CC,11
TAMPINES EAST MRT STATION,DT33,DT,33
TAMPINES MRT STATION,DT32,DT,32
TAMPINES MRT STATION,EW2,EW,2
TAMPINES WEST MRT STATION,DT31,DT,31
TAN KAH KEE MRT STATION,DT8,DT,8
TANAH MERAH MRT STATION,EW4,EW,4
TANJONG PAGAR MRT STATION,EW15,EW,15
TECK LEE LRT STATION,PW2,PW,2
TELOK AYER MRT STATION,DT18,DT,18
TELOK BLANGAH MRT STATION,CC28,CC,28
THANGGAM LRT STATION,SW4,SW,4
TIONG BAHRU MRT STATION,EW17,EW,17
TOA PAYOH MRT STATION,NS19,NS,19
TONGKANG LRT STATION,SW7,SW,7
TUAS CRESCENT MRT STATION,EW31,EW,31
TUAS LINK MRT STATION,EW33,EW,33
TUAS WEST ROAD MRT STATION,EW32,EW,32
UBI MRT STATION,DT27,DT,27
UPPER CHANGI MRT STATION,DT34,DT,34
UPPER THOMSON MRT STATION,TE8,TE,8
WOODLANDS MRT STATION,TE2,TE,2
WOODLANDS MRT STATION,NS9,NS,9
WOODLANDS NORTH MRT STATION,TE1,TE,1
WOODLANDS SOUTH MRT STATION,TE3,TE,3
WOODLEIGH MRT STATION,NE11,NE,11
YEW TEE MRT STATION,NS5,NS,5
YIO CHU KANG MRT STATION,NS15,NS,15
YISHUN MRT STATION,NS13,NS,13
